Subject ID,Slice Index,SSIM
2130023,4,0.9109672091891251
2130023,5,0.8857631814505164
2130023,6,0.9319546376700903
2130023,7,0.9028108680868557
2130023,8,0.863809133241504
2130023,9,0.8985035601815153
2130023,10,0.8852128489978339
2130023,11,0.8670737940972184
2130023,12,0.8809444761400022
2130023,13,0.8859105433846208
2130023,14,0.9033691239890524
2130023,15,0.912718780541594
2000322,0,0.8603366397043822
2000322,1,0.9059679043271017
2000322,2,0.8727274096875155
2000322,3,0.9023099324954669
2000322,4,0.9189664720489641
2000322,5,0.9180873875620509
2000322,6,0.9197653643357709
2000322,7,0.9250182517591158
2000322,8,0.9450880007810291
2000322,9,0.929639591442823
2000322,10,0.9173042978421836
2000322,11,0.9250383503823475
2000322,12,0.9191500282087943
2000322,13,0.9317383415433569
2000322,14,0.9490122436841445
2000322,15,0.9598437542209143
2020157,0,0.6914942800051823
2020157,1,0.7556396641322527
2020157,2,0.7297126371371531
2020157,3,0.7075537586290124
2020157,4,0.7036050401797828
2020157,5,0.7515157963330183
2020157,6,0.7549033888982672
2020157,7,0.7614799508098081
2020157,8,0.7594703315979785
2020157,9,0.769569484423741
2020157,10,0.7438141251720574
2020157,11,0.7737910136107538
2020157,12,0.7687580337140488
2020157,13,0.7557327225019731
2020157,14,0.7601505886218303
2020157,15,0.7280222133845556
2070064,0,0.8214612553024602
2070064,1,0.7100266955628448
2070064,2,0.7700644026726982
2070064,3,0.772623505968696
2070064,4,0.8414606306518088
2070064,5,0.8489468220786862
2070064,6,0.8026674876665673
2070064,7,0.9205141989720848
2070064,8,0.9196469852709745
2070064,9,0.8665207331642107
2070064,10,0.8790631614673643
2070064,11,0.8970980138417709
2070064,12,0.8930404823464918
2070064,13,0.904433515459206
2070064,14,0.9110744546144487
2070064,15,0.9111233579579054
2070405,0,0.8366129051309837
2070405,1,0.8444284562555696
2070405,2,0.8472848928194981
2070405,3,0.897406049318976
2070405,4,0.87044840484463
2070405,5,0.8602445089522435
2070405,6,0.8646404554824123
2070405,7,0.8829098306036517
2070405,8,0.8638340638427531
2070405,9,0.8870442824879744
2070405,10,0.879624959638538
2070405,11,0.8560075960467927
2070405,12,0.8480047461532544
2070405,13,0.8481892719776458
2070405,14,0.8617758338049643
2070405,15,0.8693813614054504
2050119,0,0.9427390407442923
2050119,1,0.9569678533740892
2050119,2,0.9563078610377307
2050119,3,0.9438813289767374
2050119,4,0.8629631374443835
2050119,5,0.9165990540630093
2050119,6,0.9594901736417124
2050119,7,0.9329274053293262
2050119,8,0.9089741059082912
2050119,9,0.9053713904386318
2050119,10,0.8965554806462932
2050119,11,0.9198907600019154
2050119,12,0.9337107574331897
2050119,13,0.9205291868147754
2050119,14,0.920280531297024
2050119,15,0.9243721431199244
2060057,0,0.6941544426417202
2060057,1,0.7455594992628879
2060057,2,0.815840951756988
2060057,3,0.809150667957192
2060057,4,0.6857035450593149
2060057,5,0.7706164171369446
2060057,6,0.7561700504601456
2060057,7,0.7583551673339094
2060057,8,0.7554649630142196
2060057,9,0.8397558235965037
2060057,10,0.8112068019223729
2060057,11,0.8502113142030657
2060057,12,0.8589969754140847
2060057,13,0.8514140417880371
2060057,14,0.857816671129194
2060057,15,0.8673746630181832
2000163,0,0.7976023581628819
2000163,1,0.8215323619159548
2000163,2,0.8051382630190395
2000163,3,0.8056280373416891
2000163,4,0.8102954442675068
2000163,5,0.8187882008096293
2000163,6,0.7969506325789898
2000163,7,0.7232238327905014
2000163,8,0.8482254613066045
2000163,9,0.8623666558136106
2000163,10,0.8524541722138532
2000163,11,0.8476049069053251
2000163,12,0.8297047138167454
2000163,13,0.8179958807213293
2000163,14,0.8606484587248696
2000163,15,0.8961487643967956
6001960,0,0.8366692308380937
6001960,1,0.8370306254160873
6001960,2,0.7554385033260874
6001960,3,0.8121353863161754
6001960,4,0.8203074419796064
6001960,5,0.782513218057715
6001960,6,0.8141636183070743
6001960,7,0.8160418694959582
6001960,8,0.8245409343450839
6001960,9,0.7948462006900479
6001960,10,0.8275837030040266
6001960,11,0.8723693565503229
6001960,12,0.8911541202086499
6001960,13,0.9108884496493175
2020316,0,0.8455608675273525
2020316,1,0.9011497384743934
2020316,2,0.9007896081242676
