Subject ID,Slice Index,SSIM_Zscore,SSIM_minmax
6003002,4,0.6014756002751902,0.624191882568209
6003002,5,0.6252564179483271,0.6566840230780864
6003002,6,0.58877754313308,0.6162072375870258
6003002,7,0.54003083695586,0.528955125867348
6003002,8,0.6561690908670978,0.6506382676498321
6003002,9,0.6676795246040442,0.6812952437513964
6003002,10,0.6306693980921907,0.6231803459356082
6003002,11,0.6241994942943595,0.5954304683533617
6003002,12,0.6387840652795236,0.6218034129688564
6003002,13,0.544725493518477,0.5232153804649108
6003002,14,0.34163997514916195,0.34687093678771075
6003002,15,0.03864968326515297,0.07896524527293401
6002994,0,0.7505822821686046,0.7227419516963012
6002994,1,0.6700537845420749,0.6897425625860708
6002994,2,0.8331137558703113,0.8442645630756278
6002994,3,0.7132942965965768,0.7358151795714579
6002994,4,0.6531102023901857,0.6554708980906325
6002994,5,0.6941068107697563,0.687085530939472
6002994,6,0.6937630655817139,0.7192701167984126
6002994,7,0.6583744081911249,0.653592776051768
6002994,8,0.6680558260052897,0.6648915007729614
6002994,9,0.611985071491829,0.6389732878539779
6002994,10,0.6536408065987986,0.6617329896564763
6002994,11,0.6045734682917061,0.6131618553144852
6002994,12,0.5551038601238678,0.5702056590772734
6002994,13,0.46287299706460244,0.45852990018982065
6002994,14,0.45970882714507677,0.4479397807055659
6002994,15,0.3890829124522557,0.38516237623835187
6003005,0,0.4681502838523073,0.4716578417002217
6003005,1,0.6887404347716899,0.7085542218466401
6003005,2,0.7767993191740976,0.7967087061106228
6003005,3,0.6461910274338651,0.682459012165454
6003005,4,0.6106737472144499,0.5883626337788574
6003005,5,0.7492082789171305,0.7515323439049031
6003005,6,0.6172969278576583,0.6487496675589087
6003005,7,0.7293855481085705,0.7298777015181561
6003005,8,0.7270697584408028,0.7619769976024311
6003005,9,0.6861990555279982,0.690425837174478
6003005,10,0.6223202557420555,0.6179753563556633
6003005,11,0.6846867703647209,0.6561435676910057
6003005,12,0.606994339171457,0.6075294957884422
6003005,13,0.6928753432266097,0.6637269363127858
6003005,14,0.6527768853298509,0.629050799831221
6003005,15,0.5959941305106647,0.5863905949687862
6003008,0,0.9526230180442224,0.9462183041130963
6003008,1,0.8400716716214393,0.8399588364448193
6003008,2,0.7727022181694059,0.7712361890980984
6003008,3,0.819266110962097,0.7755926369802382
6003008,4,0.8546406910982212,0.8327477027138993
6003008,5,0.9034777896983814,0.9172300075690779
6003008,6,0.9214825841665021,0.9255641200558576
6003008,7,0.9266104319103624,0.9123330897737865
6003008,8,0.9496194466120252,0.9367774297456711
6003008,9,0.9190175052134137,0.9165458761994474
6003008,10,0.8800492631651903,0.8582466655848674
6003008,11,0.8649940059331163,0.8504041040250494
6003008,12,0.8262297346843426,0.7962512520057344
6003008,13,0.7158462663257692,0.6980913089303604
6003008,14,0.7822268870222003,0.7687889519532315
6003008,15,0.7902081524411121,0.7877559113803316
6003018,0,0.7823635977372889,0.7516326642737607
6003018,1,0.784897705590161,0.7584429526560748
6003018,2,0.831799027775573,0.8538785609316537
6003018,3,0.8744245051192822,0.8827613699855792
6003018,4,0.922809907923986,0.9209701110746684
6003018,5,0.8041357521058543,0.8284227158435257
6003018,6,0.8940376375910535,0.9208590044098267
6003018,7,0.9154922519722138,0.9206198578553505
6003018,8,0.7245320633766276,0.7480174729619424
6003018,9,0.8957104631219632,0.8901916186875904
6003018,10,0.7694001337518199,0.7768591709844299
6003018,11,0.871553084067583,0.8519559354960109
6003018,12,0.9043529933958974,0.8892258082427914
6003018,13,0.7743143260250831,0.7794455248152223
6003018,14,0.8936807017480449,0.882382973938939
6003018,15,0.8998207251013256,0.8782714962020601
6000421,0,0.9308653341240823,0.9485834718611903
6000421,1,0.8332326310431287,0.8450552262014216
6000421,2,0.8744288164509297,0.8649184958847785
6000421,3,0.8046323020354428,0.8036359741735217
6000421,4,0.7960383954546086,0.7960733073235923
6000421,5,0.8167775482157817,0.8155190649389357
6000421,6,0.7610235441307327,0.7680319550268996
6000421,7,0.8481591367075597,0.8398451115800472
6000421,8,0.8650379930556698,0.8485250409910968
6000421,9,0.845452913124247,0.8402325264868626
6000421,10,0.8495018846926568,0.8523570051038156
6000421,11,0.8598230417133716,0.8522537189569886
6000421,12,0.9279288565783168,0.930727367945632
6000421,13,0.9097075218856615,0.9123212400853077
6000421,14,0.7851154860303146,0.7676437064711402
6000421,15,0.7635117353955928,0.7387567417573826
6000424,0,0.7455237338405563,0.78195298828628
6000424,1,0.7158860443869048,0.7458106260831664
6000424,2,0.7466294323954585,0.7180674084465055
6000424,3,0.6828057904876027,0.7084908520588129
6000424,4,0.6712151868430993,0.6841397136799505
6000424,5,0.6454197793838109,0.6895761784272392
6000424,6,0.5447719941127357,0.5746490178802278
6000424,7,0.6210257192972133,0.647858587030084
6000424,8,0.5565121119993617,0.6021856393346107
6000424,9,0.5059370614891046,0.5465432026878674
6000424,10,0.5858417930178864,0.6189279031414641
6000424,11,0.6017433657859391,0.6152522538507351
6000424,12,0.5618973492410175,0.5602363074698251
6000424,13,0.5783871954250649,0.5552573241975597
6000424,14,0.4990073431817493,0.47798430477023085
6000424,15,0.5531785099688411,0.5487372899745512
6000425,0,0.7799689963117507,0.7467495400423604
6000425,1,0.8356298000816847,0.8315144764908767
6000425,2,0.8085444864196603,0.7910274502235435
6000425,3,0.6399481326487557,0.6267873843725138
6000425,4,0.7310124986775972,0.7318969806624018
6000425,5,0.807967607240126,0.812285642588703
6000425,6,0.7128774089594518,0.6921920108013807
6000425,7,0.7449530509966483,0.7321449102716701
6000425,8,0.7973514689248418,0.8064705285578914
6000425,9,0.7475045070048463,0.7481054229519198
6000425,10,0.8526519626094515,0.8557980962595384
6000425,11,0.8081405648758518,0.7914034309304677
6000425,12,0.7744766960268724,0.7501666717069625
6000425,13,0.7780491961778931,0.7791405712362266
6000425,14,0.8309538640998584,0.8351023957753528
6000425,15,0.8289332290270791,0.8346425200559966
6003026,0,0.864187926526349,0.8643555940794647
6003026,1,0.8754344665269972,0.8825823292685101
6003026,2,0.883441911392012,0.8851294441172285
6003026,3,0.8664517470835497,0.8659449223347558
6003026,4,0.6729235226184002,0.6898157995831576
6003026,5,0.7998834807673962,0.804764887257736
6003026,6,0.8566297963575816,0.8661227281238112
6003026,7,0.8142440033651128,0.8103926147838413
6003026,8,0.7706462816828572,0.7369845662430167
6003026,9,0.7926292764298734,0.7940944386778339
6003026,10,0.7698682746928757,0.7740653061973751
6003026,11,0.7945770052291257,0.7806674014789059
6003026,12,0.8122441463659648,0.8088980586353871
6003026,13,0.7412189772359397,0.7251011035683624
6003026,14,0.5455240122016018,0.5388898491380752
6003026,15,0.24626859997822179,0.3000355138691928
6003024,0,0.7648231250387293,0.7547971281803544
6003024,1,0.8651499837372811,0.8652742447149742
6003024,2,0.7969513275818907,0.7986456089105995
6003024,3,0.7838334017892882,0.7884044786937053
6003024,4,0.787030739331285,0.796406316648562
6003024,5,0.7214346324366856,0.7312540481518219
6003024,6,0.7321371706211177,0.7283354566783036
6003024,7,0.7245932691798653,0.7242498648510532
6003024,8,0.7588708047697044,0.7695867740688973
6003024,9,0.7039438065694833,0.7076193748461745
6003024,10,0.6425841300677964,0.6736529755810254
6003024,11,0.6986670433549751,0.6814268986720509
6003024,12,0.7534191250617471,0.7517452288981097
6003024,13,0.691859629579905,0.6896860002343879
6003024,14,0.6705085609159949,0.6382277165696725
6003024,15,0.7699878120837533,0.7455504217276371
6000455,0,0.8080317586062701,0.6966624893280291
6000455,1,0.7485666488195365,0.6257152339972256
6000455,2,0.8515208897879148,0.8664399239036554
6000455,3,0.8343579186339677,0.8479242513313223
6000455,4,0.785298647243876,0.7800361733976642
6000455,5,0.5865296302347358,0.638147576907041
6000455,6,0.6130362404577178,0.6669390232466911
6000455,7,0.5919417743343143,0.639641391707768
6000455,8,0.572290979047298,0.6264626232537566
6000455,9,0.5783481163390018,0.6189928362359215
6000455,10,0.5827730321463199,0.6069588504775473
6000455,11,0.5822514340738271,0.5922475367435435
6000455,12,0.6639271639149882,0.6632021164205218
6000455,13,0.4632175985524286,0.4498050090543601
6000455,14,0.31750057723489983,0.3344942146982108
6000455,15,0.11039299987840977,0.19967607110614463
6000469,0,0.5786073221939966,0.6106498228957016
6000469,1,0.6223591945161989,0.5384168839715018
6000469,2,0.5287819889712918,0.5976063332210283
6000469,3,0.5930608251789091,0.6226530480912079
6000469,4,0.3819823312043022,0.3841749487432691
6000469,5,0.4635370193893543,0.48793863746116545
6000469,6,0.5109548182244956,0.5531066851788147
6000469,7,0.3738322522216907,0.39962511821884367
6000469,8,0.38629018861827485,0.4088203834416347
6000469,9,0.4750744374489174,0.5035998497047054
6000469,10,0.3217164597057185,0.3774347016358332
6000469,11,0.4945845256718412,0.5208291261068394
6000469,12,0.43151687033746816,0.46310709599096705
6000469,13,0.4461443551162168,0.4650630201855146
6000469,14,0.409315843608075,0.42812752657619446
6000469,15,0.4152704386214793,0.40885115682850504
6000464,0,0.6663691282555981,0.5981050404499916
6000464,1,0.41353405604472254,0.36626627543386
6000464,2,0.6422922259241588,0.5986996087196703
6000464,3,0.7374565091625328,0.6876320525144325
6000464,4,0.5698052956520981,0.5674819324719219
6000464,5,0.6917390517024283,0.6867767683297965
6000464,6,0.6173557274921322,0.6218642110614654
6000464,7,0.7252779993926222,0.7350550003169366
6000464,8,0.6673715340442598,0.6650690177259115
6000464,9,0.5481006085611533,0.5776407689127887
6000464,10,0.6545958823710238,0.6464711893424648
6000464,11,0.5891556085176961,0.5930436455809982
6000464,12,0.619931594029118,0.6170124850567409
6000464,13,0.5874114145440782,0.5751129677451428
6000436,0,0.5930763439208798,0.6133861071222004
6000436,1,0.4490487823332234,0.4856379027345186
6000436,2,0.675466761242819,0.6952835035202329
6000436,3,0.6418692106333133,0.676840065952502
6000436,4,0.5509274761411583,0.6095551271363998
6000436,5,0.46295792668113367,0.5026854466178005
6000436,6,0.45946089338594737,0.5011200718264162
6000436,7,0.42208600431851606,0.485756260076813
6000436,8,0.36624078138195365,0.43270224995698053
6000436,9,0.40273726973957286,0.4565892469061254
6000436,10,0.37650731453070907,0.4160461285241308
6000436,11,0.5504696638985835,0.5600267332338859
6000436,12,0.6490078684032935,0.6525710280602547
6000436,13,0.4271368322664339,0.42027371455388546
6000436,14,0.31424673730841296,0.32099058522791246
6000436,15,0.2045302248357447,0.23509797698921484
6000483,0,0.8093063427269278,0.7903818077275596
6000483,1,0.8863273300684076,0.894000687064608
6000483,2,0.8797601215415067,0.918378332749393
6000483,3,0.9245334019882602,0.9380266904639011
6000483,4,0.8289469188922007,0.8508320348391002
6000483,5,0.9097257593727724,0.9108597633021753
6000483,6,0.7987050717344923,0.8348464272602654
6000483,7,0.8033557558865375,0.8071330583826315
6000483,8,0.6564712339233431,0.6799668246489142
6000483,9,0.7684940658270032,0.7706650008733231
6000483,10,0.7889621260825778,0.8061817921885349
6000483,11,0.850301293618962,0.8534593789506307
6000483,12,0.8527447065900182,0.8493569063297367
6000483,13,0.7063396989689092,0.710682180922368
6000483,14,0.7536995020277977,0.7280270793366853
6000483,15,0.766980659279417,0.7367834395563222
6000472,0,0.46939135127004356,0.5099687074799465
6000472,1,0.41602907732378386,0.44318944473481786
6000472,2,0.48468654192891764,0.42990365460544605
6000472,3,0.586131092173087,0.48625940877122714
6000472,4,0.5343384110465083,0.5507285103299899
6000472,5,0.6207832172960767,0.6287145529187951
6000472,6,0.3133286194671826,0.3275160031864578
6000472,7,0.5196945108513172,0.5503064352527086
6000472,8,0.4751383810586093,0.5157760105799591
6000472,9,0.32397128224456945,0.3793239065511877
6000472,10,0.3221172156330677,0.363267921025445
6000472,11,0.5041856042892817,0.5072807949330529
6000472,12,0.4081600372487776,0.4034496798879198
6000472,13,0.5052003585310935,0.428959077706047
6000472,14,0.4543331885602471,0.4542693881070673
6000472,15,0.1401686235029392,0.16166782132140556
6000480,0,0.5386013599973823,0.45223484426739324
6000480,1,0.5290527516773095,0.5596248264560524
6000480,2,0.5366522288436005,0.5182936435426873
6000480,3,0.48509723968063667,0.464575007350913
6000480,4,0.6150431108263692,0.6163207507347772
6000480,5,0.6089451345753143,0.6006140504573331
6000480,6,0.48947931194204586,0.5241262651881307
6000480,7,0.3533510872549023,0.3541888351143749
6000480,8,0.4599501675564854,0.4869483278085972
6000480,9,0.5083089926501017,0.536740624817826
6000480,10,0.5576246022729432,0.5840862644113213
6000480,11,0.5088886713170636,0.5311494644694567
6000480,12,0.5228911617499639,0.525967429112933
6000480,13,0.4296697579941642,0.4184552147864788
6000480,14,0.3671206027624102,0.3658134529026198
6000480,15,0.33111502855560687,0.31701027146783267
6000474,0,0.8674204982886959,0.8922948336882485
6000474,1,0.6341673672699769,0.6132789617781857
6000474,2,0.761528542570584,0.7669686921633868
6000474,3,0.6715705678354962,0.6672580084256727
6000474,4,0.7124186834644846,0.7269695027785529
6000474,5,0.6720768650376974,0.6943244286830869
6000474,6,0.583781339122323,0.6090146165528711
6000474,7,0.6238899358742731,0.6452549146826608
6000474,8,0.6576989689248157,0.66733261205595
6000474,9,0.745819977025546,0.7455538884636848
6000474,10,0.677921206080206,0.6749389834932964
6000474,11,0.6550999532366649,0.6446410446919799
6000474,12,0.7587586518960976,0.7647729450424968
6000474,13,0.5023910631897396,0.5258769653765789
6000474,14,0.14242149836565327,0.2786861750860212
6000474,15,0.11323920643723143,0.2155402466230517
6000502,0,0.6714831327569105,0.6880714364877589
6000502,1,0.823573938598626,0.8356211154892402
6000502,2,0.809591056702043,0.8235270933426698
6000502,3,0.6265895367323862,0.6540107217452533
6000502,4,0.6281626246386431,0.6420703677006374
6000502,5,0.6671800410715065,0.7051413062200175
6000502,6,0.75637020227927,0.7564381712437928
6000502,7,0.6515858686297867,0.6713481674274364
6000502,8,0.7251556921971812,0.7383681069814798
6000502,9,0.71006091951055,0.7143273947472466
6000502,10,0.6147557800690084,0.6073332731693037
6000502,11,0.5752777274865819,0.5761630465263294
6000502,12,0.6073750715218775,0.5975043133750075
6000502,13,0.5210348393657882,0.5123985921066548
6000502,14,0.4127608652209375,0.4118423596805961
6000502,15,0.2962107083925208,0.3637712500501548
6000492,0,0.5132670329158103,0.5361035293990773
6000492,1,0.5993317617155864,0.6299633266657289
6000492,2,0.624539640790736,0.6223324324736217
6000492,3,0.6500672373206159,0.6135723065237362
6000492,4,0.737137278262382,0.7813805119043888
6000492,5,0.7247937746123012,0.7353439364569763
6000492,6,0.6854888832368983,0.7286703638398976
6000492,7,0.6531280363980814,0.6820468668074408
6000492,8,0.6493901015021927,0.696741072989102
6000492,9,0.6488960861538887,0.6737977571909679
6000492,10,0.714065084651478,0.731057396988498
6000492,11,0.7915714226512613,0.8001546170009336
6000492,12,0.7429732316514415,0.7510358155904534
6000492,13,0.73902362492322,0.7223008673240147
6000492,14,0.634325506417123,0.6165012780617591
6000492,15,0.4878823939380608,0.48138408664370325
6000508,0,0.807429963080416,0.8147656765498942
6000508,1,0.7639963768201831,0.6296684465170519
6000508,2,0.6747865824441031,0.7003120751456107
6000508,3,0.7440035755714807,0.7345229826832351
6000508,4,0.7230698057407821,0.6977535741365211
6000508,5,0.7570439631386281,0.7554539836251847
6000508,6,0.8107516251478938,0.7992376661079934
6000508,7,0.6153967607085817,0.6498377622956141
6000508,8,0.7271237349180811,0.743616528061533
6000508,9,0.6232395156540478,0.6546408343627073
6000508,10,0.7848081971329521,0.7830531210449156
6000508,11,0.706815164082738,0.7096602239129695
6000508,12,0.7156665173577875,0.7030099352630941
6000508,13,0.8326636651706374,0.8231635984367298
6000508,14,0.6237694087262186,0.6075781031072399
6000508,15,0.2827397954425742,0.3252272013640783
6000507,0,0.8615422880366197,0.876843232124484
6000507,1,0.7829585848088109,0.8137534603510098
6000507,2,0.8397576516723702,0.8636370718657465
6000507,3,0.4298673915270928,0.4569409167247764
6000507,4,0.7639164810900199,0.7759790728745661
6000507,5,0.46562423246264734,0.506795954852762
6000507,6,0.7895598955979908,0.828805356895198
6000507,7,0.6690935442387126,0.7119984745869782
6000507,8,0.7379843285301668,0.7659815953465151
6000507,9,0.631137095866536,0.6741951226327595
6000507,10,0.7061114509514924,0.7654185301450451
6000507,11,0.8743763781537092,0.8970170629264066
6000507,12,0.7502484164803856,0.7744365146416039
6000507,13,0.7986372327868174,0.8054353630075954
6000507,14,0.7184390717470204,0.7115151687356754
6000507,15,0.6037007090825112,0.5810017674849576
6000511,0,0.6119644576561297,0.5648478273743059
6000511,1,0.7192123798618091,0.7446083163425338
6000511,2,0.613507302145859,0.6189522431278107
6000511,3,0.6234517537545939,0.6634886051587077
6000511,4,0.6144373351352753,0.651061067553761
6000511,5,0.5799799480819323,0.6043279718413581
6000511,6,0.642201979270114,0.6650163756176187
6000511,7,0.6268095616917034,0.5537651376244439
6000511,8,0.5116427773653541,0.5505673060321387
6000511,9,0.5998391590889414,0.5523348941775406
6000511,10,0.45357666919587325,0.4191775939237902
6000511,11,0.6325871681779103,0.6624121296611251
6000511,12,0.5068562977544678,0.49665683452021775
6000511,13,0.48791785106956626,0.4533191373652313
