Subject ID,Slice Index,Haarpsi,VSI,VIF,NQM,Motion_Level
brain_AXFLAIR_210_6001897,1,0.9963519014485688,0.9995,0.9407,46.143498359442326,1
brain_AXFLAIR_210_6001897,2,0.9676564924570074,0.9956,0.7841,32.13345819172269,1
brain_AXFLAIR_210_6001897,3,0.9806414043648876,0.9964,0.803,37.59218238191298,1
brain_AXFLAIR_210_6001897,4,0.9654168915633043,0.9966,0.7975,31.252422684805858,1
brain_AXFLAIR_210_6001897,5,0.9888632659179398,0.9979,0.846,40.75100429675984,1
brain_AXFLAIR_210_6001897,6,0.9875947322762102,0.9989,0.9134,38.63771610721764,1
brain_AXFLAIR_210_6001897,7,0.9989700510325008,0.9997,0.9528,42.4862048066198,1
brain_AXFLAIR_210_6001897,8,0.9838607195931004,0.997,0.8032,36.04282656737715,1
brain_AXFLAIR_210_6001897,9,0.989735063273501,0.998,0.8289,31.347462940504307,1
brain_AXFLAIR_210_6001897,10,0.9915259410508908,0.9974,0.8069,38.688495790314334,1
brain_AXFLAIR_210_6001897,11,0.989070945520496,0.9979,0.8748,39.64267639468592,1
brain_AXFLAIR_210_6001897,12,0.9921927716145074,0.9988,0.8462,37.98353453294055,1
brain_AXFLAIR_210_6001897,13,0.9901434528287688,0.9985,0.8071,37.41290210844774,1
brain_AXFLAIR_210_6001897,14,0.9941607938683882,0.9991,0.8326,38.49619102727224,1
brain_AXFLAIR_210_6001897,15,0.9815088364139164,0.9976,0.6999,33.89478017840268,1
brain_AXFLAIR_210_6001885,0,0.9877553153959048,0.9973,0.8474,35.21071471496679,1
brain_AXFLAIR_210_6001885,1,0.9980931014998488,0.9997,0.9716,47.23922953461988,1
brain_AXFLAIR_210_6001885,2,0.9828763234769988,0.9975,0.838,31.750577322794765,1
brain_AXFLAIR_210_6001885,3,0.9871374594116546,0.9974,0.8276,32.25533953850178,1
brain_AXFLAIR_210_6001885,4,0.9851112123068432,0.998,0.8589,37.74930772791984,1
brain_AXFLAIR_210_6001885,5,0.9968111007502032,0.9993,0.9204,43.218032543466016,1
brain_AXFLAIR_210_6001885,6,0.9668855227936832,0.9956,0.784,35.186924167639376,1
brain_AXFLAIR_210_6001885,7,0.9860509648293684,0.9974,0.8222,38.06534149309616,1
brain_AXFLAIR_210_6001885,8,0.995614426684624,0.9991,0.9001,43.97331679770748,1
brain_AXFLAIR_210_6001885,9,0.9881484480027644,0.9974,0.8412,31.35156981080103,1
brain_AXFLAIR_210_6001885,10,0.9746939130168236,0.9968,0.8471,35.95926853989567,1
brain_AXFLAIR_210_6001885,11,0.9919413244591526,0.9985,0.898,39.955285695677055,1
brain_AXFLAIR_210_6001885,12,0.9787936949814776,0.9957,0.7347,31.034636602019468,1
brain_AXFLAIR_210_6001885,13,0.9806081454768458,0.9966,0.6664,36.02782063234201,1
brain_AXFLAIR_210_6001885,14,0.9692949908698014,0.996,0.6555,34.332471998257795,1
brain_AXFLAIR_210_6001885,15,0.9897881666655288,0.998,0.7264,36.65682175622224,1
brain_AXFLAIR_210_6001875,0,0.9617508256395196,0.9955,0.7672,31.334959126204183,1
brain_AXFLAIR_210_6001875,1,0.9981214023948392,0.9994,0.926,45.70833613397578,1
brain_AXFLAIR_210_6001875,2,0.9868611174169865,0.9971,0.8052,38.70119612609678,1
brain_AXFLAIR_210_6001875,3,0.937292692030152,0.9923,0.6886,24.856057531569963,1
brain_AXFLAIR_210_6001875,4,0.9937969393939244,0.9987,0.895,37.486626227228825,1
brain_AXFLAIR_210_6001875,5,0.9643190776307792,0.9953,0.7598,33.65999820039026,1
brain_AXFLAIR_210_6001875,6,0.993396160291802,0.9987,0.8937,38.48552435446284,1
brain_AXFLAIR_210_6001875,7,0.9788653391963714,0.9962,0.7816,28.959913765406327,1
brain_AXFLAIR_210_6001875,8,0.997807106455149,0.9994,0.9247,45.07543572021867,1
brain_AXFLAIR_210_6001875,9,0.9906247336910392,0.9979,0.8502,41.339817504615645,1
brain_AXFLAIR_210_6001875,10,0.9825565508376972,0.995,0.7608,37.93154838777863,1
brain_AXFLAIR_210_6001875,11,0.9862587780145964,0.9971,0.8238,38.40064546386122,1
brain_AXFLAIR_210_6001875,12,0.9951744413600556,0.9989,0.8706,34.566816549501056,1
brain_AXFLAIR_210_6001875,13,0.9886516600135452,0.998,0.8048,38.130474746291455,1
brain_AXFLAIR_210_6001875,14,0.9960428291729192,0.9992,0.8646,39.40635880747485,1
brain_AXFLAIR_210_6001875,15,0.9874212192498651,0.9983,0.7838,36.52743004682665,1
brain_AXFLAIR_210_6001555,0,0.9961573035880062,0.9993,0.9325,44.73575480413059,1
brain_AXFLAIR_210_6001555,1,0.9863087672001862,0.9982,0.8596,39.82479861159256,1
brain_AXFLAIR_210_6001555,2,0.9932009339434676,0.9986,0.8831,34.425400378300665,1
brain_AXFLAIR_210_6001555,3,0.990699279492134,0.9978,0.8214,32.89621489160732,1
brain_AXFLAIR_210_6001555,4,0.9766922621317458,0.9974,0.8047,33.65430173743686,1
brain_AXFLAIR_210_6001555,5,0.9817037875741752,0.998,0.8401,38.12468120238716,1
brain_AXFLAIR_210_6001555,6,0.9912011490799132,0.998,0.8386,37.55124082501996,1
brain_AXFLAIR_210_6001555,7,0.9956436247762076,0.9993,0.9194,42.68886413195182,1
brain_AXFLAIR_210_6001555,8,0.994193438908788,0.9986,0.8814,39.19153333473086,1
brain_AXFLAIR_210_6001555,9,0.9498654727359944,0.9943,0.751,35.81714410186174,1
brain_AXFLAIR_210_6001555,10,0.9791803118027268,0.9978,0.8545,38.11339426315749,1
brain_AXFLAIR_210_6001555,11,0.9839587139791937,0.9964,0.8051,35.58094596494568,1
brain_AXFLAIR_210_6001555,12,0.984173760714054,0.9975,0.796,37.94403912567631,1
brain_AXFLAIR_210_6001555,13,0.9952726619822932,0.9989,0.8441,39.08924456737424,1
brain_AXFLAIR_210_6001555,14,0.9933073489356008,0.9991,0.8681,37.243726502921845,1
brain_AXFLAIR_210_6001555,15,0.994117915497804,0.999,0.7874,36.10889321588133,1
brain_AXFLAIR_210_6001541,0,0.9849244283526436,0.9973,0.8229,35.131060162000786,1
brain_AXFLAIR_210_6001541,1,0.9840419144229234,0.9968,0.8154,40.33567907353094,1
brain_AXFLAIR_210_6001541,2,0.990200027879462,0.9984,0.8703,42.20642537430165,1
